playerID,careerPassYards,careerPassTDs,careerINTs,careerPasserRating,careerCompPct,careerSacks,careerGamesStarted,careerQBRushYards,seasonHighPassYards,seasonHighPassTDs,careerRushYards,careerRushTDs,careerYPC,careerRushAttempts,careerFumbles,seasonHighRushYards,careerRecYards,careerReceptions,careerRecTDs,careerYPR,seasonHighRecYards,seasonHighReceptions,careerTargets,careerTotalTDs,seasonHighRecTDs,seasonHighRushTDs,seasons
00-0016316,0,0,0,0.0,0,0,42,0,0,0,157,0,4.03,39,2,51,268,48,3,5.6,111,22,75,3,2,0,4
00-0016347,0,0,0,0.0,0,0,33,0,0,0,0,0,0,0,0,0,347,39,9,8.9,140,14,55,9,5,0,4
00-0016373,0,0,0,0.0,0,0,45,0,0,0,77,0,7.7,10,2,77,1543,105,9,14.7,773,53,148,9,4,0,4
00-0016440,0,0,0,0.0,0,0,98,0,0,0,363,2,8.85,41,2,126,3459,278,21,12.4,833,63,407,23,8,2,10
00-0016538,1596,12,8,75.5,0.537,15,9,19,1596,12,19,0,1.19,16,1,19,0,0,0,0,0,0,0,0,0,0,1
00-0017121,47,0,2,22.4,0.538,0,2,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
00-0017200,31858,206,126,93.9,0.656,257,122,283,4830,38,283,3,1.65,171,28,89,0,1,0,0.0,0,1,1,3,0,1,11
00-0017239,0,0,0,0.0,0,0,3,0,0,0,89,0,3.18,28,1,89,25,4,0,6.2,25,4,6,0,0,0,1
00-0017301,0,0,0,0.0,0,0,2,0,0,0,17,0,4.25,4,0,17,0,0,0,0,0,0,0,0,0,0,1
00-0017303,0,0,0,0.0,0,0,16,0,0,0,416,4,4.16,100,2,242,56,10,0,5.6,56,10,16,4,0,4,3
00-0017480,0,0,0,0.0,0,0,20,0,0,0,0,0,0,0,0,0,297,41,1,7.2,277,38,68,1,1,0,2
00-0017644,0,0,0,0.0,0,0,76,0,0,0,0,0,0,0,4,0,2141,235,14,9.1,705,71,257,14,4,0,7
00-0017662,0,0,0,0.0,0,0,4,0,0,0,0,0,0,0,0,0,61,6,0,10.2,61,6,7,0,0,0,1
00-0017697,0,0,0,0.0,0,0,44,0,0,0,64,0,7.11,9,2,56,1457,122,7,11.9,569,43,195,7,4,0,5
00-0017829,0,0,0,0.0,0,0,5,0,0,0,8,0,4.0,2,0,8,31,3,0,10.3,20,2,5,0,0,0,3
00-0017847,0,0,0,0.0,0,0,48,0,0,0,3,0,0.5,6,1,6,904,78,2,11.6,314,24,112,2,1,0,6
00-0017860,0,0,0,0.0,0,0,13,0,0,0,13,0,13.0,1,0,13,367,30,0,12.2,367,30,50,0,0,0,1
00-0017922,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
00-0018056,0,0,0,0.0,0,0,18,0,0,0,0,0,0,0,0,0,431,32,0,13.5,277,21,57,0,0,0,2
00-0018272,3590,20,25,66.3,0.549,56,27,232,1582,9,232,0,3.01,77,10,75,0,0,0,0,0,0,0,0,0,0,6
00-0018441,446,3,4,61.6,0.542,8,3,50,446,3,50,0,5.0,10,1,50,0,0,0,0,0,0,0,0,0,0,1
00-0018568,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,0,5.0,5,1,2,0,0,0,1
00-0018578,0,0,0,0.0,0,0,10,0,0,0,14,0,14.0,1,0,14,129,13,1,9.9,61,6,13,1,1,0,5
00-0018588,0,0,0,0.0,0,0,40,0,0,0,173,2,4.02,43,0,79,179,32,0,5.6,62,11,36,2,0,2,4
00-0018608,0,0,0,0.0,0,0,8,0,0,0,0,0,0,0,0,0,145,13,1,11.2,137,12,20,1,1,0,2
00-0018976,0,0,0,0.0,0,0,7,0,0,0,0,0,0,0,0,0,36,8,0,4.5,36,8,12,0,0,0,1
00-0018977,0,0,0,0.0,0,0,19,0,0,0,813,5,3.19,255,1,760,235,20,1,11.8,230,19,28,6,1,5,2
00-0018981,0,0,0,0.0,0,0,4,0,0,0,0,0,0,0,0,0,26,3,0,8.7,26,3,5,0,0,0,1
00-0018997,0,0,0,0.0,0,0,4,0,0,0,0,0,0,0,0,0,15,2,0,7.5,15,2,6,0,0,0,1
00-0019008,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,6,1,0,6.0,6,1,1,0,0,0,1
00-0019021,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
00-0019025,0,0,0,0.0,0,0,8,0,0,0,5,0,0.56,9,0,6,1,1,0,1.0,1,1,2,0,0,0,2
00-0019027,0,0,0,0.0,0,0,3,0,0,0,0,0,0,0,0,0,14,2,0,7.0,14,2,7,0,0,0,1
00-0019028,0,0,0,0.0,0,0,4,0,0,0,-3,0,-0.75,4,1,-1,0,1,0,0.0,0,1,1,0,0,0,2
00-0019035,0,0,0,0.0,0,0,4,0,0,0,0,0,0,0,0,0,13,1,0,13.0,13,1,4,0,0,0,1
00-0019038,0,0,0,0.0,0,0,3,0,0,0,0,0,0,0,0,0,19,1,0,19.0,19,1,4,0,0,0,1
00-0019041,3753,27,15,84.9,0.601,49,37,28,2485,18,28,2,0.49,57,1,50,-1,1,0,-1.0,0,1,1,2,0,1,9
00-0019054,0,0,0,0.0,0,0,7,0,0,0,0,0,0,0,0,0,165,14,1,11.8,165,14,21,1,1,0,1
00-0019057,0,0,0,0.0,0,0,67,0,0,0,1419,9,3.72,381,2,470,1294,172,2,7.5,452,63,217,11,1,5,6
00-0019062,0,0,0,0.0,0,0,3,0,0,0,0,0,0,0,0,0,15,3,0,5.0,15,3,4,0,0,0,1
00-0019065,0,0,0,0.0,0,0,12,0,0,0,0,0,0,0,0,0,93,11,0,8.5,70,8,18,0,0,0,2
00-0019087,2600,13,18,69.4,0.568,38,25,58,1655,8,58,2,1.81,32,1,21,0,0,0,0,0,0,0,2,0,1,5
00-0019093,0,0,0,0.0,0,0,7,0,0,0,0,0,0,0,0,0,57,5,1,11.4,47,4,10,1,1,0,2
00-0019100,0,0,0,0.0,0,0,115,0,0,0,958,3,3.39,283,5,287,1042,144,6,7.2,187,26,187,9,2,1,10
